Выбранная строка,Т/плана предупр.ТОРО,ПозПредупредТОРО,ПланПредупрТОРО,strategy,Планирующий завод,Позиция предупред. ТОРО - описание,Группа плановиков,Единица оборудования,Название технического объекта,Вид работы ТОРО,Вид заказа,Тип техкарты,СчетГруппТехкарт,Группа,Название технического места,Техническое место,strategy_str,updated-counter
,PM,9369,100000005032,2-0154,1200,ТР гидросистемы,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТР,APP1,A,69,M0000002,Самосвал №1622,03-CTT-KM02,2-0154_str,69
,PM,9370,100000005033,2-0157,1200,Замена дифференциала,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,ЗФ,M0000002,Самосвал №1622,03-CTT-KM02,2-0157_str,ЗФ
,PM,9371,100000005034,2-0160,1200,КР подвески задней,100,100000006409,Самосвал карьерный HD1500-8 №1622,КР,APP1,A,28,M0000002,Самосвал №1622,03-CTT-KM02,2-0160_str,28
,PM,9372,100000005035,2-0161,1200,КР подвески передней,100,100000006409,Самосвал карьерный HD1500-8 №1622,КР,APP1,A,29,M0000002,Самосвал №1622,03-CTT-KM02,2-0161_str,29
,PM,9373,100000005036,2-0162,1200,КР ступицы,100,100000006409,Самосвал карьерный HD1500-8 №1622,КР,APP1,A,31,M0000002,Самосвал №1622,03-CTT-KM02,2-0162_str,31
,PM,9374,100000005037,2-0167,1200,Замена конечной передачи,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,ЗП,M0000002,Самосвал №1622,03-CTT-KM02,2-0167_str,ЗП
,PM,9375,100000005038,2-0170,1200,КР гидротрансформатора,100,100000006409,Самосвал карьерный HD1500-8 №1622,КР,APP1,A,8,M0000002,Самосвал №1622,03-CTT-KM02,2-0170_str,8
,PM,9376,100000005038,2-0170,1200,Замена гидротрансформатора,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,ЗГ,M0000002,Самосвал №1622,03-CTT-KM02,2-0170_str,ЗГ
,PM,9377,100000005039,2-0171,1200,Техническое обслуживание 1,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТО1,APP1,A,О1,M0000002,Самосвал №1622,03-CTT-KM02,2-0171_str,О1
,PM,9378,100000005039,2-0171,1200,Техническое обслуживание 2,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТО2,APP1,A,О2,M0000002,Самосвал №1622,03-CTT-KM02,2-0171_str,О2
,PM,9379,100000005039,2-0171,1200,Техническое обслуживание 5,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТО5,APP1,A,О5,M0000002,Самосвал №1622,03-CTT-KM02,2-0171_str,О5
,PM,9380,100000005039,2-0171,1200,Техническое обслуживание 4,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТО4,APP1,A,О4,M0000002,Самосвал №1622,03-CTT-KM02,2-0171_str,О4
,PM,9381,100000005039,2-0171,1200,Техническое обслуживание 3,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТО3,APP1,A,О3,M0000002,Самосвал №1622,03-CTT-KM02,2-0171_str,О3
,PM,9382,100000005039,2-0171,1200,Техническое обслуживание 6,100,100000006409,Самосвал карьерный HD1500-8 №1622,ТО6,APP1,A,О6,M0000002,Самосвал №1622,03-CTT-KM02,2-0171_str,О6
,PM,9383,100000005040,2-0172,1200,Замена2 двигателя,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,48,M0000002,Самосвал №1622,03-CTT-KM02,2-0172_str,48
,PM,9384,100000005040,2-0172,1200,Замена1 двигателя,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,40,M0000002,Самосвал №1622,03-CTT-KM02,2-0172_str,40
,PM,9385,100000005041,2-0173,1200,Замена1 коробки передач,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,41,M0000002,Самосвал №1622,03-CTT-KM02,2-0173_str,41
,PM,9386,100000005041,2-0173,1200,Замена2 коробки передач,100,100000006409,Самосвал карьерный HD1500-8 №1622,ЗМН,APP1,A,49,M0000002,Самосвал №1622,03-CTT-KM02,2-0173_str,49
,PM,9387,100000005042,1-0007,1200,Текущий ремонт,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТР,APP1,A,ТР,M0000002,Самосвал №1623,03-CTT-KM03,1-0007_str,ТР
,PM,9388,100000005043,1-0083,1200,ТР дополнительных систем,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТР,APP1,A,71,M0000002,Самосвал №1623,03-CTT-KM03,1-0083_str,71
,PM,9389,100000005044,1-0084,1200,Замена кузова,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,ЗЗ,M0000002,Самосвал №1623,03-CTT-KM03,1-0084_str,ЗЗ
,PM,9390,100000005045,1-0085,1200,ТР электрических систем,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТР,APP1,A,ТЭ,M0000002,Самосвал №1623,03-CTT-KM03,1-0085_str,ТЭ
,PM,9391,100000005046,2-0154,1200,КР гидросистемы,100,100000006410,Самосвал карьерный HD1500-8 №1623,КР,APP1,A,7,M0000002,Самосвал №1623,03-CTT-KM03,2-0154_str,7
,PM,9392,100000005046,2-0154,1200,ТР гидросистемы,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТР,APP1,A,69,M0000002,Самосвал №1623,03-CTT-KM03,2-0154_str,69
,PM,9393,100000005047,2-0157,1200,Замена дифференциала,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,ЗФ,M0000002,Самосвал №1623,03-CTT-KM03,2-0157_str,ЗФ
,PM,9394,100000005048,2-0160,1200,КР подвески задней,100,100000006410,Самосвал карьерный HD1500-8 №1623,КР,APP1,A,28,M0000002,Самосвал №1623,03-CTT-KM03,2-0160_str,28
,PM,9395,100000005049,2-0161,1200,КР подвески передней,100,100000006410,Самосвал карьерный HD1500-8 №1623,КР,APP1,A,29,M0000002,Самосвал №1623,03-CTT-KM03,2-0161_str,29
,PM,9396,100000005050,2-0162,1200,КР ступицы,100,100000006410,Самосвал карьерный HD1500-8 №1623,КР,APP1,A,31,M0000002,Самосвал №1623,03-CTT-KM03,2-0162_str,31
,PM,9397,100000005051,2-0167,1200,Замена конечной передачи,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,ЗП,M0000002,Самосвал №1623,03-CTT-KM03,2-0167_str,ЗП
,PM,9398,100000005052,2-0170,1200,КР гидротрансформатора,100,100000006410,Самосвал карьерный HD1500-8 №1623,КР,APP1,A,8,M0000002,Самосвал №1623,03-CTT-KM03,2-0170_str,8
,PM,9399,100000005052,2-0170,1200,Замена гидротрансформатора,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,ЗГ,M0000002,Самосвал №1623,03-CTT-KM03,2-0170_str,ЗГ
,PM,9400,100000005053,2-0171,1200,Техническое обслуживание 1,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТО1,APP1,A,О1,M0000002,Самосвал №1623,03-CTT-KM03,2-0171_str,О1
,PM,9401,100000005053,2-0171,1200,Техническое обслуживание 2,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТО2,APP1,A,О2,M0000002,Самосвал №1623,03-CTT-KM03,2-0171_str,О2
,PM,9402,100000005053,2-0171,1200,Техническое обслуживание 5,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТО5,APP1,A,О5,M0000002,Самосвал №1623,03-CTT-KM03,2-0171_str,О5
,PM,9403,100000005053,2-0171,1200,Техническое обслуживание 4,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТО4,APP1,A,О4,M0000002,Самосвал №1623,03-CTT-KM03,2-0171_str,О4
,PM,9404,100000005053,2-0171,1200,Техническое обслуживание 3,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТО3,APP1,A,О3,M0000002,Самосвал №1623,03-CTT-KM03,2-0171_str,О3
,PM,9405,100000005053,2-0171,1200,Техническое обслуживание 6,100,100000006410,Самосвал карьерный HD1500-8 №1623,ТО6,APP1,A,О6,M0000002,Самосвал №1623,03-CTT-KM03,2-0171_str,О6
,PM,9406,100000005054,2-0172,1200,Замена2 двигателя,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,48,M0000002,Самосвал №1623,03-CTT-KM03,2-0172_str,48
,PM,9407,100000005054,2-0172,1200,Замена1 двигателя,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,40,M0000002,Самосвал №1623,03-CTT-KM03,2-0172_str,40
,PM,9408,100000005055,2-0173,1200,Замена1 коробки передач,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,41,M0000002,Самосвал №1623,03-CTT-KM03,2-0173_str,41
,PM,9409,100000005055,2-0173,1200,Замена2 коробки передач,100,100000006410,Самосвал карьерный HD1500-8 №1623,ЗМН,APP1,A,49,M0000002,Самосвал №1623,03-CTT-KM03,2-0173_str,49
,PM,10266,100000005492,1-0007,1200,Текущий ремонт,100,100000007087,Экскаватор электрический WK-20 №1220,ТР,APP1,A,ТР,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,1-0007_str,ТР
,PM,10267,100000005493,1-0029,1200,ТР ковша,100,100000007087,Экскаватор электрический WK-20 №1220,ТР,APP1,A,74,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,1-0029_str,74
,PM,10268,100000005494,2-0128,1200,Техническое обслуживание 1,100,100000007087,Экскаватор электрический WK-20 №1220,ТО1,APP1,A,О1,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,2-0128_str,О1
,PM,10269,100000005494,2-0128,1200,Техническое обслуживание 2,100,100000007087,Экскаватор электрический WK-20 №1220,ТО2,APP1,A,О2,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,2-0128_str,О2
,PM,10270,100000005494,2-0128,1200,Техническое обслуживание 3,100,100000007087,Экскаватор электрический WK-20 №1220,ТО3,APP1,A,О3,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,2-0128_str,О3
,PM,10271,100000005494,2-0128,1200,Техническое обслуживание 4,100,100000007087,Экскаватор электрический WK-20 №1220,ТО4,APP1,A,О4,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,2-0128_str,О4
,PM,10272,100000005494,2-0128,1200,Капитальный ремонт,100,100000007087,Экскаватор электрический WK-20 №1220,КР,APP1,A,КР,M0000019,Экскаватор №1220,03-RUD-EKSK-OOBR-EX04,2-0128_str,КР
,PM,10540,100000005678,2-0175,1200,Техническое обслуживание 3,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТО3,APP1,A,О3,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0175_str,О3
,PM,10541,100000005678,2-0175,1200,Техническое обслуживание 2,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТО2,APP1,A,О2,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0175_str,О2
,PM,10542,100000005678,2-0175,1200,Техническое обслуживание 1,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТО1,APP1,A,О1,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0175_str,О1
,PM,10543,100000005678,2-0175,1200,Техническое обслуживание 5,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТО5,APP1,A,О5,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0175_str,О5
,PM,10544,100000005678,2-0175,1200,Техническое обслуживание 4,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТО4,APP1,A,О4,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0175_str,О4
,PM,10545,100000005679,2-0176,1200,КР гидросистемы,100,100000007096,Станок буровой SmartROC D65-10LF №1108,КР,APP1,A,7,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0176_str,7
,PM,10546,100000005680,2-0177,1200,ТР двигателя,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТР,APP1,A,70,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0177_str,70
,PM,10547,100000005680,2-0177,1200,Замена двигателя,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ЗМН,APP1,A,ЗД,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0177_str,ЗД
,PM,10548,100000005681,2-0178,1200,Замена компрессора,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ЗМН,APP1,A,ЗМ,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0178_str,ЗМ
,PM,10549,100000005682,2-0179,1200,КР рабочего оборудования,100,100000007096,Станок буровой SmartROC D65-10LF №1108,КР,APP1,A,КО,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0179_str,КО
,PM,10550,100000005683,2-0180,1200,КР ходовой части,100,100000007096,Станок буровой SmartROC D65-10LF №1108,КР,APP1,A,34,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0180_str,34
,PM,10551,100000005684,2-0181,1200,ТР электрических систем,100,100000007096,Станок буровой SmartROC D65-10LF №1108,ТР,APP1,A,ТЭ,M0000011,Станок буровой №1108,03-RUD-UBVR-DR07,2-0181_str,ТЭ
,PM,10579,100000005708,1-0007,1200,Текущий ремонт,100,100000008661,Самосвал карьерный HD785-5 №1601,ТР,APP1,A,ТР,M0000003,Самосвал №1601,03-CTT-KH01,1-0007_str,ТР
,PM,10580,100000005709,1-0083,1200,ТР дополнительных систем,100,100000008661,Самосвал карьерный HD785-5 №1601,ТР,APP1,A,71,M0000003,Самосвал №1601,03-CTT-KH01,1-0083_str,71
,PM,10581,100000005710,1-0084,1200,Замена кузова,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,ЗЗ,M0000003,Самосвал №1601,03-CTT-KH01,1-0084_str,ЗЗ
,PM,10582,100000005711,1-0085,1200,ТР электрических систем,100,100000008661,Самосвал карьерный HD785-5 №1601,ТР,APP1,A,ТЭ,M0000003,Самосвал №1601,03-CTT-KH01,1-0085_str,ТЭ
,PM,10583,100000005712,2-0153,1200,Техническое обслуживание 1,100,100000008661,Самосвал карьерный HD785-5 №1601,ТО1,APP1,A,О1,M0000003,Самосвал №1601,03-CTT-KH01,2-0153_str,О1
,PM,10584,100000005712,2-0153,1200,Техническое обслуживание 2,100,100000008661,Самосвал карьерный HD785-5 №1601,ТО2,APP1,A,О2,M0000003,Самосвал №1601,03-CTT-KH01,2-0153_str,О2
,PM,10585,100000005712,2-0153,1200,Техническое обслуживание 3,100,100000008661,Самосвал карьерный HD785-5 №1601,ТО3,APP1,A,О3,M0000003,Самосвал №1601,03-CTT-KH01,2-0153_str,О3
,PM,10586,100000005713,2-0154,1200,КР гидросистемы,100,100000008661,Самосвал карьерный HD785-5 №1601,КР,APP1,A,7,M0000003,Самосвал №1601,03-CTT-KH01,2-0154_str,7
,PM,10587,100000005713,2-0154,1200,ТР гидросистемы,100,100000008661,Самосвал карьерный HD785-5 №1601,ТР,APP1,A,69,M0000003,Самосвал №1601,03-CTT-KH01,2-0154_str,69
,PM,10588,100000005714,2-0155,1200,Замена гидротрансформатора,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,ЗГ,M0000003,Самосвал №1601,03-CTT-KH01,2-0155_str,ЗГ
,PM,10589,100000005714,2-0155,1200,КР гидротрансформатора,100,100000008661,Самосвал карьерный HD785-5 №1601,КР,APP1,A,8,M0000003,Самосвал №1601,03-CTT-KH01,2-0155_str,8
,PM,10590,100000005715,2-0156,1200,Замена1 двигателя,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,40,M0000003,Самосвал №1601,03-CTT-KH01,2-0156_str,40
,PM,10591,100000005715,2-0156,1200,Замена2 двигателя,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,48,M0000003,Самосвал №1601,03-CTT-KH01,2-0156_str,48
,PM,10592,100000005716,2-0157,1200,Замена дифференциала,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,ЗФ,M0000003,Самосвал №1601,03-CTT-KH01,2-0157_str,ЗФ
,PM,10593,100000005717,2-0158,1200,Замена конечной передачи,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,ЗП,M0000003,Самосвал №1601,03-CTT-KH01,2-0158_str,ЗП
,PM,10594,100000005718,2-0159,1200,Замена2 коробки передач,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,49,M0000003,Самосвал №1601,03-CTT-KH01,2-0159_str,49
,PM,10595,100000005718,2-0159,1200,Замена1 коробки передач,100,100000008661,Самосвал карьерный HD785-5 №1601,ЗМН,APP1,A,41,M0000003,Самосвал №1601,03-CTT-KH01,2-0159_str,41
,PM,10596,100000005719,2-0160,1200,КР подвески задней,100,100000008661,Самосвал карьерный HD785-5 №1601,КР,APP1,A,28,M0000003,Самосвал №1601,03-CTT-KH01,2-0160_str,28
,PM,10597,100000005720,2-0161,1200,КР подвески передней,100,100000008661,Самосвал карьерный HD785-5 №1601,КР,APP1,A,29,M0000003,Самосвал №1601,03-CTT-KH01,2-0161_str,29
,PM,10598,100000005721,2-0162,1200,КР ступицы,100,100000008661,Самосвал карьерный HD785-5 №1601,КР,APP1,A,31,M0000003,Самосвал №1601,03-CTT-KH01,2-0162_str,31
,PM,10599,100000005722,1-0007,1200,Текущий ремонт,100,100000008662,Самосвал карьерный HD785-5 №1603,ТР,APP1,A,ТР,M0000003,Самосвал №1603,03-CTT-KH02,1-0007_str,ТР
,PM,10600,100000005723,1-0083,1200,ТР дополнительных систем,100,100000008662,Самосвал карьерный HD785-5 №1603,ТР,APP1,A,71,M0000003,Самосвал №1603,03-CTT-KH02,1-0083_str,71
,PM,10601,100000005724,1-0084,1200,Замена кузова,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,ЗЗ,M0000003,Самосвал №1603,03-CTT-KH02,1-0084_str,ЗЗ
,PM,10602,100000005725,1-0085,1200,ТР электрических систем,100,100000008662,Самосвал карьерный HD785-5 №1603,ТР,APP1,A,ТЭ,M0000003,Самосвал №1603,03-CTT-KH02,1-0085_str,ТЭ
,PM,10603,100000005726,2-0153,1200,Техническое обслуживание 1,100,100000008662,Самосвал карьерный HD785-5 №1603,ТО1,APP1,A,О1,M0000003,Самосвал №1603,03-CTT-KH02,2-0153_str,О1
,PM,10604,100000005726,2-0153,1200,Техническое обслуживание 2,100,100000008662,Самосвал карьерный HD785-5 №1603,ТО2,APP1,A,О2,M0000003,Самосвал №1603,03-CTT-KH02,2-0153_str,О2
,PM,10605,100000005726,2-0153,1200,Техническое обслуживание 3,100,100000008662,Самосвал карьерный HD785-5 №1603,ТО3,APP1,A,О3,M0000003,Самосвал №1603,03-CTT-KH02,2-0153_str,О3
,PM,10606,100000005727,2-0154,1200,КР гидросистемы,100,100000008662,Самосвал карьерный HD785-5 №1603,КР,APP1,A,7,M0000003,Самосвал №1603,03-CTT-KH02,2-0154_str,7
,PM,10607,100000005727,2-0154,1200,ТР гидросистемы,100,100000008662,Самосвал карьерный HD785-5 №1603,ТР,APP1,A,69,M0000003,Самосвал №1603,03-CTT-KH02,2-0154_str,69
,PM,10608,100000005728,2-0155,1200,Замена гидротрансформатора,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,ЗГ,M0000003,Самосвал №1603,03-CTT-KH02,2-0155_str,ЗГ
,PM,10609,100000005728,2-0155,1200,КР гидротрансформатора,100,100000008662,Самосвал карьерный HD785-5 №1603,КР,APP1,A,8,M0000003,Самосвал №1603,03-CTT-KH02,2-0155_str,8
,PM,10610,100000005729,2-0156,1200,Замена1 двигателя,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,40,M0000003,Самосвал №1603,03-CTT-KH02,2-0156_str,40
,PM,10611,100000005729,2-0156,1200,Замена2 двигателя,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,48,M0000003,Самосвал №1603,03-CTT-KH02,2-0156_str,48
,PM,10612,100000005730,2-0157,1200,Замена дифференциала,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,ЗФ,M0000003,Самосвал №1603,03-CTT-KH02,2-0157_str,ЗФ
,PM,10613,100000005731,2-0158,1200,Замена конечной передачи,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,ЗП,M0000003,Самосвал №1603,03-CTT-KH02,2-0158_str,ЗП
,PM,10614,100000005732,2-0159,1200,Замена2 коробки передач,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,49,M0000003,Самосвал №1603,03-CTT-KH02,2-0159_str,49
,PM,10615,100000005732,2-0159,1200,Замена1 коробки передач,100,100000008662,Самосвал карьерный HD785-5 №1603,ЗМН,APP1,A,41,M0000003,Самосвал №1603,03-CTT-KH02,2-0159_str,41
,PM,10616,100000005733,2-0160,1200,КР подвески задней,100,100000008662,Самосвал карьерный HD785-5 №1603,КР,APP1,A,28,M0000003,Самосвал №1603,03-CTT-KH02,2-0160_str,28
,PM,10617,100000005734,2-0161,1200,КР подвески передней,100,100000008662,Самосвал карьерный HD785-5 №1603,КР,APP1,A,29,M0000003,Самосвал №1603,03-CTT-KH02,2-0161_str,29
,PM,10618,100000005735,2-0162,1200,КР ступицы,100,100000008662,Самосвал карьерный HD785-5 №1603,КР,APP1,A,31,M0000003,Самосвал №1603,03-CTT-KH02,2-0162_str,31
