,Название стратерии,Единица,Текст цикла ПредупрТОРО,КраткНазвЦикла,Цикл,код_цикла,strategy_str_counter
405,"ЧАС ММПС 7х4,2",ЧАС,Текущий ремонт 4,Т4,"8640,00",1-0157Т4,1-0157_strТ4
406,"ЧАС ММПС 7х4,2",ЧАС,Текущий ремонт 5,Т5,"17280,00",1-0157Т5,1-0157_strТ5
407,"ЧАС ММПС 7х4,2",ЧАС,Текущий ремонт 6,Т6,"51840,00",1-0157Т6,1-0157_strТ6
408,"ЧАС ММПС 7х4,2",ЧАС,Текущий ремонт 7,Т7,"69120,00",1-0157Т7,1-0157_strТ7
409,ЧАС ТО720-Т14320-Т2-Т3-Т4-Т5,ЧАС,Техническое обслуживание,ТО,"720,00",1-0158ТО,1-0158_strТО
410,ЧАС ТО720-Т14320-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0158Т1,1-0158_strТ1
411,ЧАС ТО720-Т14320-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0158Т2,1-0158_strТ2
412,ЧАС ТО720-Т14320-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 3,Т3,"17280,00",1-0158Т3,1-0158_strТ3
413,ЧАС ТО720-Т14320-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 4,Т4,"34560,00",1-0158Т4,1-0158_strТ4
414,ЧАС ТО720-Т14320-Т2-Т3-Т4-Т5,ЧАС,Текущий ремонт 5,Т5,"51840,00",1-0158Т5,1-0158_strТ5
415,ЧАС О1360-О2720-ТР2880,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0159О1,1-0159_strО1
416,ЧАС О1360-О2720-ТР2880,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0159О2,1-0159_strО2
417,ЧАС О1360-О2720-ТР2880,ЧАС,Текущий ремонт,ТР,"2880,00",1-0159ТР,1-0159_strТР
418,ЧАС Периодическая смазка,ЧАС,Смазка,СМ,"24,00",1-0160СМ,1-0160_strСМ
419,ЧАС ТО360-ТР720-КР8640,ЧАС,Техническое обслуживание,ТО,"360,00",1-0161ТО,1-0161_strТО
420,ЧАС ТО360-ТР720-КР8640,ЧАС,Текущий ремонт,ТР,"720,00",1-0161ТР,1-0161_strТР
421,ЧАС ТО360-ТР720-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0161КР,1-0161_strКР
422,ЧАС ТО720-ТР1440,ЧАС,Техническое обслуживание,ТО,"720,00",1-0162ТО,1-0162_strТО
423,ЧАС ТО720-ТР1440,ЧАС,Текущий ремонт,ТР,"1440,00",1-0162ТР,1-0162_strТР
424,ЧАС ТО720-ТР5760,ЧАС,Техническое обслуживание,ТО,"720,00",1-0163ТО,1-0163_strТО
425,ЧАС ТО720-ТР5760,ЧАС,Текущий ремонт,ТР,"5760,00",1-0163ТР,1-0163_strТР
426,ЧАС ТО720-ТР8640-КР126912,ЧАС,Техническое обслуживание,ТО,"720,00",1-0164ТО,1-0164_strТО
427,ЧАС ТО720-ТР8640-КР126912,ЧАС,Текущий ремонт,ТР,"8640,00",1-0164ТР,1-0164_strТР
428,ЧАС ТО720-ТР8640-КР126912,ЧАС,Капитальный ремонт,КР,"126912,00",1-0164КР,1-0164_strКР
429,ЧАС ТО2160-ТР4320-КР34560,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0165ТО,1-0165_strТО
430,ЧАС ТО2160-ТР4320-КР34560,ЧАС,Текущий ремонт,ТР,"4320,00",1-0165ТР,1-0165_strТР
431,ЧАС ТО2160-ТР4320-КР34560,ЧАС,Капитальный ремонт,КР,"34560,00",1-0165КР,1-0165_strКР
432,ЧАС ТО720-Т12880-8640-КР17280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0166ТО,1-0166_strТО
433,ЧАС ТО720-Т12880-8640-КР17280,ЧАС,Текущий ремонт 1,Т1,"2880,00",1-0166Т1,1-0166_strТ1
434,ЧАС ТО720-Т12880-8640-КР17280,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0166Т2,1-0166_strТ2
435,ЧАС ТО720-Т12880-8640-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0166КР,1-0166_strКР
436,ЧАС О1720-2880-ТР8640-КР17280,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0167О1,1-0167_strО1
437,ЧАС О1720-2880-ТР8640-КР17280,ЧАС,Техническое обслуживание 2,О2,"2880,00",1-0167О2,1-0167_strО2
438,ЧАС О1720-2880-ТР8640-КР17280,ЧАС,Текущий ремонт,ТР,"8640,00",1-0167ТР,1-0167_strТР
439,ЧАС О1720-2880-ТР8640-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0167КР,1-0167_strКР
440,ЧАС ТО720-ТР4320-КР34560,ЧАС,Техническое обслуживание,ТО,"720,00",1-0168ТО,1-0168_strТО
441,ЧАС ТО720-ТР4320-КР34560,ЧАС,Текущий ремонт,ТР,"4320,00",1-0168ТР,1-0168_strТР
442,ЧАС ТО720-ТР4320-КР34560,ЧАС,Капитальный ремонт,КР,"34560,00",1-0168КР,1-0168_strКР
443,ЧАС ТО720-Т12160-Т24320-КР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0169ТО,1-0169_strТО
444,ЧАС ТО720-Т12160-Т24320-КР8640,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0169Т1,1-0169_strТ1
445,ЧАС ТО720-Т12160-Т24320-КР8640,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0169Т2,1-0169_strТ2
446,ЧАС ТО720-Т12160-Т24320-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0169КР,1-0169_strКР
447,ЧАС ТО720-ТР8640-КР17280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0170ТО,1-0170_strТО
448,ЧАС ТО720-ТР8640-КР17280,ЧАС,Текущий ремонт,ТР,"8640,00",1-0170ТР,1-0170_strТР
449,ЧАС ТО720-ТР8640-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0170КР,1-0170_strКР
450,ЧАС ТО2160-ТР4320-КР51840,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0171ТО,1-0171_strТО
451,ЧАС ТО2160-ТР4320-КР51840,ЧАС,Текущий ремонт,ТР,"4320,00",1-0171ТР,1-0171_strТР
452,ЧАС ТО2160-ТР4320-КР51840,ЧАС,Капитальный ремонт,КР,"51840,00",1-0171КР,1-0171_strКР
453,ЧАС О1720-4320-17280-КР86400,ЧАС,Техническое обслуживание 1,О1,"720,00",1-0172О1,1-0172_strО1
454,ЧАС О1720-4320-17280-КР86400,ЧАС,Техническое обслуживание 2,О2,"4320,00",1-0172О2,1-0172_strО2
455,ЧАС О1720-4320-17280-КР86400,ЧАС,Техническое обслуживание 3,О3,"17280,00",1-0172О3,1-0172_strО3
456,ЧАС О1720-4320-17280-КР86400,ЧАС,Капитальный ремонт,КР,"86400,00",1-0172КР,1-0172_strКР
457,ЧАС ТО720-ТР4320-КР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0173ТО,1-0173_strТО
458,ЧАС ТО720-ТР4320-КР8640,ЧАС,Текущий ремонт,ТР,"4320,00",1-0173ТР,1-0173_strТР
459,ЧАС ТО720-ТР4320-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0173КР,1-0173_strКР
460,ЧАС ТО720-ТР2160-КР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0174ТО,1-0174_strТО
461,ЧАС ТО720-ТР2160-КР8640,ЧАС,Текущий ремонт,ТР,"2160,00",1-0174ТР,1-0174_strТР
462,ЧАС ТО720-ТР2160-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0174КР,1-0174_strКР
463,ЧАС ТО720-Т12160-8640-КР17280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0175ТО,1-0175_strТО
464,ЧАС ТО720-Т12160-8640-КР17280,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0175Т1,1-0175_strТ1
465,ЧАС ТО720-Т12160-8640-КР17280,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0175Т2,1-0175_strТ2
466,ЧАС ТО720-Т12160-8640-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0175КР,1-0175_strКР
467,ЧАС ТО720-КР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0176ТО,1-0176_strТО
468,ЧАС ТО720-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0176КР,1-0176_strКР
469,ЧАС ТО2160-ТР4320-КР17280,ЧАС,Техническое обслуживание,ТО,"2160,00",1-0177ТО,1-0177_strТО
470,ЧАС ТО2160-ТР4320-КР17280,ЧАС,Текущий ремонт,ТР,"4320,00",1-0177ТР,1-0177_strТР
471,ЧАС ТО2160-ТР4320-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0177КР,1-0177_strКР
472,ЧАС ТО720-Т15040-Т216560,ЧАС,Техническое обслуживание,ТО,"720,00",1-0178ТО,1-0178_strТО
473,ЧАС ТО720-Т15040-Т216560,ЧАС,Текущий ремонт 1,Т1,"5040,00",1-0178Т1,1-0178_strТ1
474,ЧАС ТО720-Т15040-Т216560,ЧАС,Текущий ремонт 2,Т2,"16560,00",1-0178Т2,1-0178_strТ2
475,ЧАС ТО240-Т12160-Т28640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0179ТО,1-0179_strТО
476,ЧАС ТО240-Т12160-Т28640,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0179Т1,1-0179_strТ1
477,ЧАС ТО240-Т12160-Т28640,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0179Т2,1-0179_strТ2
478,ЧАС ТО1440-ТР4320-КР25920,ЧАС,Техническое обслуживание,ТО,"1440,00",1-0180ТО,1-0180_strТО
479,ЧАС ТО1440-ТР4320-КР25920,ЧАС,Текущий ремонт,ТР,"4320,00",1-0180ТР,1-0180_strТР
480,ЧАС ТО1440-ТР4320-КР25920,ЧАС,Капитальный ремонт,КР,"25920,00",1-0180КР,1-0180_strКР
481,ЧАС ТО720-ТР8640-8025920,ЧАС,Техническое обслуживание,ТО,"720,00",1-0181ТО,1-0181_strТО
482,ЧАС ТО720-ТР8640-8025920,ЧАС,Текущий ремонт,ТР,"8640,00",1-0181ТР,1-0181_strТР
483,ЧАС ТО720-ТР8640-8025920,ЧАС,ТР привода,80,"25920,00",1-018180,1-0181_str80
484,ЧАС ТО240-КР8640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0182ТО,1-0182_strТО
485,ЧАС ТО240-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0182КР,1-0182_strКР
486,ЧАС ТО240-КР4320,ЧАС,Техническое обслуживание,ТО,"240,00",1-0183ТО,1-0183_strТО
487,ЧАС ТО240-КР4320,ЧАС,Капитальный ремонт,КР,"4320,00",1-0183КР,1-0183_strКР
488,ЧАС 240-720-4320-7280-86400,ЧАС,Техническое обслуживание 1,О1,"240,00",1-0184О1,1-0184_strО1
489,ЧАС 240-720-4320-7280-86400,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0184О2,1-0184_strО2
490,ЧАС 240-720-4320-7280-86400,ЧАС,Техническое обслуживание 3,О3,"4320,00",1-0184О3,1-0184_strО3
491,ЧАС 240-720-4320-7280-86400,ЧАС,Текущий ремонт,ТР,"17280,00",1-0184ТР,1-0184_strТР
492,ЧАС 240-720-4320-7280-86400,ЧАС,Капитальный ремонт,КР,"86400,00",1-0184КР,1-0184_strКР
493,ЧАС ТО240-ТР2880-КР8640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0185ТО,1-0185_strТО
494,ЧАС ТО240-ТР2880-КР8640,ЧАС,Текущий ремонт,ТР,"2880,00",1-0185ТР,1-0185_strТР
495,ЧАС ТО240-ТР2880-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0185КР,1-0185_strКР
496,ЧАС ТО360-КР4320,ЧАС,Техническое обслуживание,ТО,"360,00",1-0186ТО,1-0186_strТО
497,ЧАС ТО360-КР4320,ЧАС,Капитальный ремонт,КР,"4320,00",1-0186КР,1-0186_strКР
498,ЧАС ТО360-Т12160-Т24320-КР8640,ЧАС,Техническое обслуживание,ТО,"360,00",1-0187ТО,1-0187_strТО
499,ЧАС ТО360-Т12160-Т24320-КР8640,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0187Т1,1-0187_strТ1
500,ЧАС ТО360-Т12160-Т24320-КР8640,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0187Т2,1-0187_strТ2
501,ЧАС ТО360-Т12160-Т24320-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0187КР,1-0187_strКР
502,ЧАС ТО240-ТР4320-КР8640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0188ТО,1-0188_strТО
503,ЧАС ТО240-ТР4320-КР8640,ЧАС,Текущий ремонт,ТР,"4320,00",1-0188ТР,1-0188_strТР
504,ЧАС ТО240-ТР4320-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0188КР,1-0188_strКР
505,ЧАС ТО240-Т12160-Т24320,ЧАС,Техническое обслуживание,ТО,"240,00",1-0189ТО,1-0189_strТО
506,ЧАС ТО240-Т12160-Т24320,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0189Т1,1-0189_strТ1
507,ЧАС ТО240-Т12160-Т24320,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0189Т2,1-0189_strТ2
508,ЧАС О1360-О2720-Т12160-Т24320,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0190О1,1-0190_strО1
509,ЧАС О1360-О2720-Т12160-Т24320,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0190О2,1-0190_strО2
510,ЧАС О1360-О2720-Т12160-Т24320,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0190Т1,1-0190_strТ1
511,ЧАС О1360-О2720-Т12160-Т24320,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0190Т2,1-0190_strТ2
512,ЧАС О1360-О2720-ТР2160-КР8640,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0191О1,1-0191_strО1
513,ЧАС О1360-О2720-ТР2160-КР8640,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0191О2,1-0191_strО2
514,ЧАС О1360-О2720-ТР2160-КР8640,ЧАС,Текущий ремонт,ТР,"2160,00",1-0191ТР,1-0191_strТР
515,ЧАС О1360-О2720-ТР2160-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0191КР,1-0191_strКР
516,ЧАС ТО720-Т17920-Т216560,ЧАС,Техническое обслуживание,ТО,"720,00",1-0192ТО,1-0192_strТО
517,ЧАС ТО720-Т17920-Т216560,ЧАС,Текущий ремонт 1,Т1,"7920,00",1-0192Т1,1-0192_strТ1
518,ЧАС ТО720-Т17920-Т216560,ЧАС,Текущий ремонт 2,Т2,"16560,00",1-0192Т2,1-0192_strТ2
519,ЧАС ТО720-ТР2880-КР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0193ТО,1-0193_strТО
520,ЧАС ТО720-ТР2880-КР8640,ЧАС,Текущий ремонт,ТР,"2880,00",1-0193ТР,1-0193_strТР
521,ЧАС ТО720-ТР2880-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0193КР,1-0193_strКР
522,ЧАС ТО360-Т1720-Т24320,ЧАС,Техническое обслуживание,ТО,"360,00",1-0194ТО,1-0194_strТО
523,ЧАС ТО360-Т1720-Т24320,ЧАС,Текущий ремонт 1,Т1,"720,00",1-0194Т1,1-0194_strТ1
524,ЧАС ТО360-Т1720-Т24320,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0194Т2,1-0194_strТ2
525,ЧАС ТО720-ТР25920-КР103680,ЧАС,Техническое обслуживание,ТО,"720,00",1-0195ТО,1-0195_strТО
526,ЧАС ТО720-ТР25920-КР103680,ЧАС,Текущий ремонт,ТР,"25920,00",1-0195ТР,1-0195_strТР
527,ЧАС ТО720-ТР25920-КР103680,ЧАС,Капитальный ремонт,КР,"103680,00",1-0195КР,1-0195_strКР
528,ЧАС ТО720-ТР8640-КР103680,ЧАС,Техническое обслуживание,ТО,"720,00",1-0196ТО,1-0196_strТО
529,ЧАС ТО720-ТР8640-КР103680,ЧАС,Текущий ремонт,ТР,"8640,00",1-0196ТР,1-0196_strТР
530,ЧАС ТО720-ТР8640-КР103680,ЧАС,Капитальный ремонт,КР,"103680,00",1-0196КР,1-0196_strКР
531,ЧАС ТО720-Т12160-КР7920-Т28640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0197ТО,1-0197_strТО
532,ЧАС ТО720-Т12160-КР7920-Т28640,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0197Т1,1-0197_strТ1
533,ЧАС ТО720-Т12160-КР7920-Т28640,ЧАС,Капитальный ремонт,КР,"7920,00",1-0197КР,1-0197_strКР
534,ЧАС ТО720-Т12160-КР7920-Т28640,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0197Т2,1-0197_strТ2
535,ЧАС ТО720-Т12160-КР8640,ЧАС,Техническое обслуживание,ТО,"720,00",1-0198ТО,1-0198_strТО
536,ЧАС ТО720-Т12160-КР8640,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0198Т1,1-0198_strТ1
537,ЧАС ТО720-Т12160-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0198КР,1-0198_strКР
538,ЧАС ТО720-Т12160-Т27920,ЧАС,Техническое обслуживание,ТО,"720,00",1-0199ТО,1-0199_strТО
539,ЧАС ТО720-Т12160-Т27920,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0199Т1,1-0199_strТ1
540,ЧАС ТО720-Т12160-Т27920,ЧАС,Текущий ремонт 2,Т2,"7920,00",1-0199Т2,1-0199_strТ2
541,ЧАС ТО240-ТР720-КР8640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0200ТО,1-0200_strТО
542,ЧАС ТО240-ТР720-КР8640,ЧАС,Текущий ремонт,ТР,"720,00",1-0200ТР,1-0200_strТР
543,ЧАС ТО240-ТР720-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0200КР,1-0200_strКР
544,ЧАС ТО720-ТР2160-КР4320,ЧАС,Техническое обслуживание,ТО,"720,00",1-0201ТО,1-0201_strТО
545,ЧАС ТО720-ТР2160-КР4320,ЧАС,Текущий ремонт,ТР,"2160,00",1-0201ТР,1-0201_strТР
546,ЧАС ТО720-ТР2160-КР4320,ЧАС,Капитальный ремонт,КР,"4320,00",1-0201КР,1-0201_strКР
547,ЧАС ТО240-ТР2160-КР8640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0202ТО,1-0202_strТО
548,ЧАС ТО240-ТР2160-КР8640,ЧАС,Текущий ремонт,ТР,"2160,00",1-0202ТР,1-0202_strТР
549,ЧАС ТО240-ТР2160-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0202КР,1-0202_strКР
550,ЧАС ТО360-ТР4320-КР17280,ЧАС,Техническое обслуживание,ТО,"360,00",1-0203ТО,1-0203_strТО
551,ЧАС ТО360-ТР4320-КР17280,ЧАС,Текущий ремонт,ТР,"4320,00",1-0203ТР,1-0203_strТР
552,ЧАС ТО360-ТР4320-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0203КР,1-0203_strКР
553,ЧАС ТО720-Т12160-4320-КР17280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0204ТО,1-0204_strТО
554,ЧАС ТО720-Т12160-4320-КР17280,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0204Т1,1-0204_strТ1
555,ЧАС ТО720-Т12160-4320-КР17280,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0204Т2,1-0204_strТ2
556,ЧАС ТО720-Т12160-4320-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0204КР,1-0204_strКР
557,ЧАС ТО360-Т12160-4320-КР17280,ЧАС,Техническое обслуживание,ТО,"360,00",1-0205ТО,1-0205_strТО
558,ЧАС ТО360-Т12160-4320-КР17280,ЧАС,Текущий ремонт 1,Т1,"2160,00",1-0205Т1,1-0205_strТ1
559,ЧАС ТО360-Т12160-4320-КР17280,ЧАС,Текущий ремонт 2,Т2,"4320,00",1-0205Т2,1-0205_strТ2
560,ЧАС ТО360-Т12160-4320-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0205КР,1-0205_strКР
561,ЧАС ТО360-ТР2160-КР4320,ЧАС,Техническое обслуживание,ТО,"360,00",1-0206ТО,1-0206_strТО
562,ЧАС ТО360-ТР2160-КР4320,ЧАС,Текущий ремонт,ТР,"2160,00",1-0206ТР,1-0206_strТР
563,ЧАС ТО360-ТР2160-КР4320,ЧАС,Капитальный ремонт,КР,"4320,00",1-0206КР,1-0206_strКР
564,ЧАС ТО720-ТР8640-КР172800,ЧАС,Техническое обслуживание,ТО,"720,00",1-0207ТО,1-0207_strТО
565,ЧАС ТО720-ТР8640-КР172800,ЧАС,Текущий ремонт,ТР,"8640,00",1-0207ТР,1-0207_strТР
566,ЧАС ТО720-ТР8640-КР172800,ЧАС,Капитальный ремонт,КР,"172800,00",1-0207КР,1-0207_strКР
567,ЧАС О1360-О2720-ТР2880-КР8640,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0208О1,1-0208_strО1
568,ЧАС О1360-О2720-ТР2880-КР8640,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0208О2,1-0208_strО2
569,ЧАС О1360-О2720-ТР2880-КР8640,ЧАС,Текущий ремонт,ТР,"2880,00",1-0208ТР,1-0208_strТР
570,ЧАС О1360-О2720-ТР2880-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0208КР,1-0208_strКР
571,ЧАС О1360-О2720-ТР5760-КР34560,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0209О1,1-0209_strО1
572,ЧАС О1360-О2720-ТР5760-КР34560,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0209О2,1-0209_strО2
573,ЧАС О1360-О2720-ТР5760-КР34560,ЧАС,Текущий ремонт,ТР,"5760,00",1-0209ТР,1-0209_strТР
574,ЧАС О1360-О2720-ТР5760-КР34560,ЧАС,Капитальный ремонт,КР,"34560,00",1-0209КР,1-0209_strКР
575,ЧАС О1360-О2720-ТР5760-КР43200,ЧАС,Техническое обслуживание 1,О1,"360,00",1-0210О1,1-0210_strО1
576,ЧАС О1360-О2720-ТР5760-КР43200,ЧАС,Техническое обслуживание 2,О2,"720,00",1-0210О2,1-0210_strО2
577,ЧАС О1360-О2720-ТР5760-КР43200,ЧАС,Текущий ремонт,ТР,"5760,00",1-0210ТР,1-0210_strТР
578,ЧАС О1360-О2720-ТР5760-КР43200,ЧАС,Капитальный ремонт,КР,"43200,00",1-0210КР,1-0210_strКР
579,ЧАС 278640,ЧАС,КР навесного оборудования,27,"8640,00",1-021127,1-0211_str27
580,ЧАС Т14320-Т28760-КР25920,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0212Т1,1-0212_strТ1
581,ЧАС Т14320-Т28760-КР25920,ЧАС,Текущий ремонт 2,Т2,"8760,00",1-0212Т2,1-0212_strТ2
582,ЧАС Т14320-Т28760-КР25920,ЧАС,Капитальный ремонт,КР,"25920,00",1-0212КР,1-0212_strКР
583,ЧАС ЗУ8640,ЧАС,Замена футеровка,ЗУ,"8640,00",1-0213ЗУ,1-0213_strЗУ
584,ЧАС ЗУ4320,ЧАС,Замена футеровка,ЗУ,"4320,00",1-0214ЗУ,1-0214_strЗУ
585,ЧАС ТО720-ТР2280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0215ТО,1-0215_strТО
586,ЧАС ТО720-ТР2280,ЧАС,Текущий ремонт,ТР,"2280,00",1-0215ТР,1-0215_strТР
587,ЧАС ТР720-ТО8640,ЧАС,Текущий ремонт,ТР,"720,00",1-0216ТР,1-0216_strТР
588,ЧАС ТР720-ТО8640,ЧАС,Техническое обслуживание,ТО,"8640,00",1-0216ТО,1-0216_strТО
589,ЧАС ТО1440-ТР7920,ЧАС,Техническое обслуживание,ТО,"1440,00",1-0217ТО,1-0217_strТО
590,ЧАС ТО1440-ТР7920,ЧАС,Текущий ремонт,ТР,"7920,00",1-0217ТР,1-0217_strТР
591,ЧАС О1240-ТР2160-КР8640,ЧАС,Техническое обслуживание 1,О1,"240,00",1-0218О1,1-0218_strО1
592,ЧАС О1240-ТР2160-КР8640,ЧАС,Текущий ремонт,ТР,"2160,00",1-0218ТР,1-0218_strТР
593,ЧАС О1240-ТР2160-КР8640,ЧАС,Капитальный ремонт,КР,"8640,00",1-0218КР,1-0218_strКР
594,ЧАС ТО240-Т12880-Т28640,ЧАС,Техническое обслуживание,ТО,"240,00",1-0219ТО,1-0219_strТО
595,ЧАС ТО240-Т12880-Т28640,ЧАС,Текущий ремонт 1,Т1,"2880,00",1-0219Т1,1-0219_strТ1
596,ЧАС ТО240-Т12880-Т28640,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0219Т2,1-0219_strТ2
597,ЧАС ТО720-Т14320-8640-КР17280,ЧАС,Техническое обслуживание,ТО,"720,00",1-0220ТО,1-0220_strТО
598,ЧАС ТО720-Т14320-8640-КР17280,ЧАС,Текущий ремонт 1,Т1,"4320,00",1-0220Т1,1-0220_strТ1
599,ЧАС ТО720-Т14320-8640-КР17280,ЧАС,Текущий ремонт 2,Т2,"8640,00",1-0220Т2,1-0220_strТ2
600,ЧАС ТО720-Т14320-8640-КР17280,ЧАС,Капитальный ремонт,КР,"17280,00",1-0220КР,1-0220_strКР
601,ЧАС ТО720-ТР5400,ЧАС,Техническое обслуживание,ТО,"720,00",1-0221ТО,1-0221_strТО
602,ЧАС ТО720-ТР5400,ЧАС,Текущий ремонт,ТР,"5400,00",1-0221ТР,1-0221_strТР
603,ЧАС ТО4320-ТР8640-КР86400,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0222ТО,1-0222_strТО
604,ЧАС ТО4320-ТР8640-КР86400,ЧАС,Текущий ремонт,ТР,"8640,00",1-0222ТР,1-0222_strТР
605,ЧАС ТО4320-ТР8640-КР86400,ЧАС,Капитальный ремонт,КР,"86400,00",1-0222КР,1-0222_strКР
606,ЧАС ТР4320-КР35040,ЧАС,Текущий ремонт,ТР,"4320,00",1-0223ТР,1-0223_strТР
607,ЧАС ТР4320-КР35040,ЧАС,Капитальный ремонт,КР,"35040,00",1-0223КР,1-0223_strКР
608,ЧАС ТО4320-ТР17280-КР43200,ЧАС,Техническое обслуживание,ТО,"4320,00",1-0224ТО,1-0224_strТО
609,ЧАС ТО4320-ТР17280-КР43200,ЧАС,Текущий ремонт,ТР,"17280,00",1-0224ТР,1-0224_strТР
610,ЧАС ТО4320-ТР17280-КР43200,ЧАС,Капитальный ремонт,КР,"43200,00",1-0224КР,1-0224_strКР
611,ЧАС О12160-4320-ТР8640-КР86400,ЧАС,Техническое обслуживание 1,О1,"2160,00",1-0225О1,1-0225_strО1
612,ЧАС О12160-4320-ТР8640-КР86400,ЧАС,Техническое обслуживание 2,О2,"4320,00",1-0225О2,1-0225_strО2
613,ЧАС О12160-4320-ТР8640-КР86400,ЧАС,Текущий ремонт,ТР,"8640,00",1-0225ТР,1-0225_strТР
614,ЧАС О12160-4320-ТР8640-КР86400,ЧАС,Капитальный ремонт,КР,"86400,00",1-0225КР,1-0225_strКР
615,ЧАС ТО8640-ТР17280-КР51840,ЧАС,Техническое обслуживание,ТО,"8640,00",1-0226ТО,1-0226_strТО
616,ЧАС ТО8640-ТР17280-КР51840,ЧАС,Текущий ремонт,ТР,"17280,00",1-0226ТР,1-0226_strТР
