БЕ,класс ео,Модель оборудования,Наименование оборудования,strategy_str_counter,Группа,СчетГруппТехкарт,ПланПредупрТОРО,Позиция предупред. ТОРО - описание,Текст цикла ПредупрТОРО,gruppa_str_counter,"Трудоёмкость ТК, ч","Продолжительность операций ТК, ч"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0167_strЗП,M0000002,ЗП,100000005037,Замена конечной передачи,Замена конечной передачи,M0000002_strЗП,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0170_str8,M0000002,8,100000005038,КР гидротрансформатора,КР гидротрансформатора,M0000002_str8,"720,000","240,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0170_strЗГ,M0000002,ЗГ,100000005038,Замена гидротрансформатора,Замена гидротрансформатора,M0000002_strЗГ,"216,000","72,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0171_strО1,M0000002,О1,100000005039,Техническое обслуживание 1,Техническое обслуживание 1,M0000002_strО1,"16,000","8,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0171_strО2,M0000002,О2,100000005039,Техническое обслуживание 2,Техническое обслуживание 2,M0000002_strО2,"20,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0171_strО5,M0000002,О5,100000005039,Техническое обслуживание 5,Техническое обслуживание 5,M0000002_strО5,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0171_strО4,M0000002,О4,100000005039,Техническое обслуживание 4,Техническое обслуживание 4,M0000002_strО4,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0171_strО3,M0000002,О3,100000005039,Техническое обслуживание 3,Техническое обслуживание 3,M0000002_strО3,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0171_strО6,M0000002,О6,100000005039,Техническое обслуживание 6,Техническое обслуживание 6,M0000002_strО6,"72,000","36,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0172_strД2,M0000002,48,100000005040,Замена2 двигателя,Замена двигателя,M0000002_str48,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0172_strД1,M0000002,40,100000005040,Замена1 двигателя,Замена двигателя,M0000002_str40,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0173_strП1,M0000002,41,100000005041,Замена1 коробки передач,Замена коробки передач,M0000002_str41,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1622,2-0173_strП2,M0000002,49,100000005041,Замена2 коробки передач,Замена коробки передач,M0000002_str49,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,1-0007_strТР,M0000002,ТР,100000005042,Текущий ремонт,Текущий ремонт,M0000002_strТР,"30,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,1-0083_str71,M0000002,71,100000005043,ТР дополнительных систем,ТР дополнительных систем,M0000002_str71,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,1-0084_strЗЗ,M0000002,ЗЗ,100000005044,Замена кузова,Замена кузова,M0000002_strЗЗ,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,1-0085_strТЭ,M0000002,ТЭ,100000005045,ТР электрических систем,ТР электрических систем,M0000002_strТЭ,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0154_str7,M0000002,7,100000005046,КР гидросистемы,КР гидросистемы,M0000002_str7,"360,000","120,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0154_str69,M0000002,69,100000005046,ТР гидросистемы,ТР гидросистемы,M0000002_str69,"180,000","60,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0157_strЗФ,M0000002,ЗФ,100000005047,Замена дифференциала,Замена дифференциала,M0000002_strЗФ,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0160_str28,M0000002,28,100000005048,КР подвески задней,КР подвески задней,M0000002_str28,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0161_str29,M0000002,29,100000005049,КР подвески передней,КР подвески передней,M0000002_str29,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0162_str31,M0000002,31,100000005050,КР ступицы,КР ступицы,M0000002_str31,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0167_strЗП,M0000002,ЗП,100000005051,Замена конечной передачи,Замена конечной передачи,M0000002_strЗП,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0170_str8,M0000002,8,100000005052,КР гидротрансформатора,КР гидротрансформатора,M0000002_str8,"720,000","240,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0170_strЗГ,M0000002,ЗГ,100000005052,Замена гидротрансформатора,Замена гидротрансформатора,M0000002_strЗГ,"216,000","72,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0171_strО1,M0000002,О1,100000005053,Техническое обслуживание 1,Техническое обслуживание 1,M0000002_strО1,"16,000","8,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0171_strО2,M0000002,О2,100000005053,Техническое обслуживание 2,Техническое обслуживание 2,M0000002_strО2,"20,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0171_strО5,M0000002,О5,100000005053,Техническое обслуживание 5,Техническое обслуживание 5,M0000002_strО5,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0171_strО4,M0000002,О4,100000005053,Техническое обслуживание 4,Техническое обслуживание 4,M0000002_strО4,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0171_strО3,M0000002,О3,100000005053,Техническое обслуживание 3,Техническое обслуживание 3,M0000002_strО3,"48,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0171_strО6,M0000002,О6,100000005053,Техническое обслуживание 6,Техническое обслуживание 6,M0000002_strО6,"72,000","36,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0172_strД2,M0000002,48,100000005054,Замена2 двигателя,Замена двигателя,M0000002_str48,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0172_strД1,M0000002,40,100000005054,Замена1 двигателя,Замена двигателя,M0000002_str40,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0173_strП1,M0000002,41,100000005055,Замена1 коробки передач,Замена коробки передач,M0000002_str41,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD1500-7,Самосвал карьерный HD1500-8 №1623,2-0173_strП2,M0000002,49,100000005055,Замена2 коробки передач,Замена коробки передач,M0000002_str49,"288,000","96,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,1-0007_strТР,M0000019,ТР,100000005492,Текущий ремонт,Текущий ремонт,M0000019_strТР,"60,000","20,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,1-0029_str74,M0000019,74,100000005493,ТР ковша,ТР ковша,M0000019_str74,"48,000","24,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,2-0128_strО1,M0000019,О1,100000005494,Техническое обслуживание 1,Техническое обслуживание 1,M0000019_strО1,"32,000","8,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,2-0128_strО2,M0000019,О2,100000005494,Техническое обслуживание 2,Техническое обслуживание 2,M0000019_strО2,"60,000","12,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,2-0128_strО3,M0000019,О3,100000005494,Техническое обслуживание 3,Техническое обслуживание 3,M0000019_strО3,"120,000","24,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,2-0128_strО4,M0000019,О4,100000005494,Техническое обслуживание 4,Техническое обслуживание 4,M0000019_strО4,"216,000","36,000"
Полюс Вернинское,Экскаваторы электрические,Экскаваторы WK-20,Экскаватор электрический WK-20 №1220,2-0128_strКР,M0000019,КР,100000005494,Капитальный ремонт,Капитальный ремонт,M0000019_strКР,"5 952,000","744,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0175_strО3,M0000011,О3,100000005678,Техническое обслуживание 3,Техническое обслуживание 3,M0000011_strО3,"54,000","18,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0175_strО2,M0000011,О2,100000005678,Техническое обслуживание 2,Техническое обслуживание 2,M0000011_strО2,"36,000","12,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0175_strО1,M0000011,О1,100000005678,Техническое обслуживание 1,Техническое обслуживание 1,M0000011_strО1,,
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0175_strО5,M0000011,О5,100000005678,Техническое обслуживание 5,Техническое обслуживание 5,M0000011_strО5,"96,000","24,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0175_strО4,M0000011,О4,100000005678,Техническое обслуживание 4,Техническое обслуживание 4,M0000011_strО4,"96,000","24,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0176_str7,M0000011,7,100000005679,КР гидросистемы,КР гидросистемы,M0000011_str7,"480,000","120,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0177_str70,M0000011,70,100000005680,ТР двигателя,ТР двигателя,M0000011_str70,"24,000","12,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0177_strЗД,M0000011,ЗД,100000005680,Замена двигателя,Замена двигателя,M0000011_strЗД,"360,000","120,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0178_strЗМ,M0000011,ЗМ,100000005681,Замена компрессора,Замена компрессора,M0000011_strЗМ,"216,000","72,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0179_strКО,M0000011,КО,100000005682,КР рабочего оборудования,КР рабочего оборудования,M0000011_strКО,"216,000","72,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0180_str34,M0000011,34,100000005683,КР ходовой части,КР ходовой части,M0000011_str34,"504,000","168,000"
Полюс Вернинское,Станки буровые вращ. бур. шарошками,Станки буровые ROC D65,Станок буровой SmartROC D65-10LF №1108,2-0181_strТЭ,M0000011,ТЭ,100000005684,ТР электрических систем,ТР электрических систем,M0000011_strТЭ,"12,000","6,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,1-0007_strТР,M0000003,ТР,100000005708,Текущий ремонт,Текущий ремонт,M0000003_strТР,"30,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,1-0083_str71,M0000003,71,100000005709,ТР дополнительных систем,ТР дополнительных систем,M0000003_str71,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,1-0084_strЗЗ,M0000003,ЗЗ,100000005710,Замена кузова,Замена кузова,M0000003_strЗЗ,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,1-0085_strТЭ,M0000003,ТЭ,100000005711,ТР электрических систем,ТР электрических систем,M0000003_strТЭ,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0153_strО1,M0000003,О1,100000005712,Техническое обслуживание 1,Техническое обслуживание 1,M0000003_strО1,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0153_strО2,M0000003,О2,100000005712,Техническое обслуживание 2,Техническое обслуживание 2,M0000003_strО2,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0153_strО3,M0000003,О3,100000005712,Техническое обслуживание 3,Техническое обслуживание 3,M0000003_strО3,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0154_str7,M0000003,7,100000005713,КР гидросистемы,КР гидросистемы,M0000003_str7,"360,000","120,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0154_str69,M0000003,69,100000005713,ТР гидросистемы,ТР гидросистемы,M0000003_str69,"180,000","60,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0155_strЗГ,M0000003,ЗГ,100000005714,Замена гидротрансформатора,Замена гидротрансформатора,M0000003_strЗГ,"216,000","72,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0155_str8,M0000003,8,100000005714,КР гидротрансформатора,КР гидротрансформатора,M0000003_str8,"720,000","240,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0156_strД1,M0000003,40,100000005715,Замена1 двигателя,Замена двигателя,M0000003_str40,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0156_strД2,M0000003,48,100000005715,Замена2 двигателя,Замена двигателя,M0000003_str48,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0157_strЗФ,M0000003,ЗФ,100000005716,Замена дифференциала,Замена дифференциала,M0000003_strЗФ,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0158_strЗП,M0000003,ЗП,100000005717,Замена конечной передачи,Замена конечной передачи,M0000003_strЗП,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0159_strП2,M0000003,49,100000005718,Замена2 коробки передач,Замена коробки передач,M0000003_str49,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0159_strП1,M0000003,41,100000005718,Замена1 коробки передач,Замена коробки передач,M0000003_str41,"288,000","96,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0160_str28,M0000003,28,100000005719,КР подвески задней,КР подвески задней,M0000003_str28,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0161_str29,M0000003,29,100000005720,КР подвески передней,КР подвески передней,M0000003_str29,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1601,2-0162_str31,M0000003,31,100000005721,КР ступицы,КР ступицы,M0000003_str31,"144,000","48,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1603,1-0007_strТР,M0000003,ТР,100000005722,Текущий ремонт,Текущий ремонт,M0000003_strТР,"30,000","10,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1603,1-0083_str71,M0000003,71,100000005723,ТР дополнительных систем,ТР дополнительных систем,M0000003_str71,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1603,1-0084_strЗЗ,M0000003,ЗЗ,100000005724,Замена кузова,Замена кузова,M0000003_strЗЗ,"72,000","24,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1603,1-0085_strТЭ,M0000003,ТЭ,100000005725,ТР электрических систем,ТР электрических систем,M0000003_strТЭ,"15,000","5,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1603,2-0153_strО1,M0000003,О1,100000005726,Техническое обслуживание 1,Техническое обслуживание 1,M0000003_strО1,"0,000","0,000"
Полюс Вернинское,Самосвалы карьерные,Самосвалы Komatsu HD785-5,Самосвал карьерный HD785-5 №1603,2-0153_strО2,M0000003,О2,100000005726,Техническое обслуживание 2,Техническое обслуживание 2,M0000003_strО2,"0,000","0,000"
